id,municities,npss_irri,vs_irri,rs_irri,ms_irri,total_irri,npss_rain,vs_rain,rs_rain,ms_rain,total_rain,npss_up,vs_up,rs_up,ms_up,total_up,npss_gt,vs_gt,rs_gt,ms_gt,total_gt
340,San Lorenzo Ruiz,45.00004172,60.00012516,15.00012516,4.17191E-05,120.0003338,0,0,0,0,0,0,0,0,0,0,45.00004172,60.00012516,15.00012516,4.17191E-05,120.0003338
341,San Vicente,45.0899256,55.71477681,10.71477681,0.089925604,111.6094048,0.046115856,0.430194488,1.060004183,1.351851102,2.88816563,0,0,0,0,0,45.13604146,56.1449713,11.77478099,1.441776706,114.4975705
342,Santa Elena,90.48980646,124.5206649,48.77684929,85.38059067,349.1679113,0.386828769,3.539022507,8.682923677,11.06145988,23.67023483,0,0,0,0,0,90.87663523,128.0596874,57.45977297,96.44205055,372.8381461
343,Talisay,129.2420572,175.2261716,47.72617159,1.742057195,353.9364576,0.233841671,2.130148709,5.221237769,6.649861464,14.23508961,0,0,0,0,0,129.4758989,177.3563203,52.94740936,8.391918659,368.1715472
344,Vinzons,77.17301774,106.5190532,31.51905323,2.173017744,217.3841419,1.289078471,11.60195581,28.36047507,36.09519546,77.34670481,0,0,0,0,0,78.46209622,118.121009,59.8795283,38.2682132,294.7308468
345,Baao,1150.316644,234.3249329,92.44993295,21.44164432,1498.533155,0.019536217,0.15634437,0.371352025,0.469087745,1.016320357,0,0,0,6.460327148,6.460327148,1150.336181,234.4812773,92.82128497,28.37105921,1506.009802
346,Balatan,92.47299525,47.03260359,14.75769586,44.16908031,198.432375,0,0,0.007634615,0,0.007634615,0,0,0,0,0,92.47299525,47.03260359,14.76533047,44.16908031,198.4400096
348,Bato,995.8006889,539.8329717,142.0872828,0,1677.720943,208.7459391,182.686216,0,0,391.4321552,0,0,0,0,0,1204.546628,722.5191877,142.0872828,0,2069.153098
349,Bombon,93.51165379,93.51165379,0,0,187.0233076,0.131103516,1.573242193,3.064209,1.622070323,6.390625031,0,0,0,0,0,93.6427573,95.08489598,3.064209,1.622070323,193.4139326
351,Buhi,571.8548511,699.7198511,237.115,109.25,1617.939702,0,0,0,0,0,0,0,0,0,0,571.8548511,699.7198511,237.115,109.25,1617.939702
352,Bula,1231.866285,1354.021285,187.5250708,65.3700708,2838.782712,0.1890625,1.2609375,1.071875,0,2.521875,32.35,16.3,16.3,22.09237627,87.04237627,1264.405348,1371.582223,204.8969458,87.46244707,2928.346964
353,Cabusao,605.7186768,479.621731,118.8639065,0,1204.204314,332.1719971,180.4179883,0,0,512.5899854,0,0,0,0,0,937.8906738,660.0397193,118.8639065,0,1716.7943
354,Calabanga,974.7035164,11.09351643,0,0,985.7970329,383.5427244,6.052207311,5.4094829,0,395.0044146,7.3,0,0,0,7.3,1365.546241,17.14572375,5.4094829,0,1388.101447
355,Camaligan,79.39703246,15.59109738,10.19109738,0,105.1792272,64.23151625,35.92606499,0,0,100.1575812,0,0,0,0,0,143.6285487,51.51716237,10.19109738,0,205.3368084
